ID,SalePrice
1461,125302.53752171964
1462,158008.58316762617
1463,177887.23180495386
1464,198510.11239873664
1465,184477.69015987322
1466,169459.388833553
1467,178081.6136641648
1468,165851.11360109033
1469,182200.12079716084
1470,122059.32456041485
1471,200176.26998583367
1472,105637.91655351919
1473,98388.85023958242
1474,150480.728851245
1475,124779.74026243915
1476,346766.3325129901
1477,241307.91226246647
1478,287064.21133427374
1479,267372.906599317
1480,438994.25704382523
1481,311493.50841044926
1482,205380.9904870387
1483,176830.8087893718
1484,169936.18972771516
1485,194525.86906506988
1486,207043.5900326728
1487,312133.3515909163
1488,230499.12127364406
1489,192311.14729408786
1490,213355.31652041496
1491,195696.34238941423
1492,91816.68292115776
1493,176925.1217898943
1494,288870.97993067506
1495,290051.5549959459
1496,216054.2084369071
1497,176222.03629532206
1498,170072.46535312064
1499,164033.511117785
1500,156077.3260207019
1501,172149.70061390148
1502,161678.00135518558
1503,281943.3832213281
1504,244380.12380325247
1505,223499.0718430453
1506,193954.2792260352
1507,242511.247937304
1508,198817.8954372308
1509,158284.1253875684
1510,140201.82547939548
1511,139975.47166598318
1512,173091.91243112576
1513,151635.68204720598
1514,152994.3192030689
1515,193606.96812031124
1516,156540.09951072972
1517,153840.822775968
1518,131691.47029286367
1519,201145.84889064258
1520,125632.5834347534
1521,131052.27425432426
1522,167987.26356892742
1523,109796.97637387988
1524,115697.47362326577
1525,110161.83614042682
1526,104925.51075540864
1527,101707.33255706656
1528,143491.2122206856
1529,144050.4736512687
1530,178995.11325201925
1531,120185.37616123262
1532,105772.02416491577
1533,149651.85668885583
1534,128371.2554846712
1535,152457.2700261599
1536,111469.43140508747
1537,66580.55839165734
1538,149243.9865742828
1539,199438.24601258233
1540,95171.0332799835
1541,144808.49507522385
1542,145170.39885354607
1543,197528.4682944394
1544,90233.02270262022
1545,110198.11257561856
1546,129513.09064633495
1547,135119.1156820567
1548,133538.86819142388
1549,120595.99133542439
1550,132406.87161524076
1551,117220.6322654992
1552,132340.79571036983
1553,142277.11628580326
1554,117488.22120087185
1555,155843.5514139239
1556,92148.42620951048
1557,101425.31303223377
1558,103105.78069232624
1559,89376.68990008181
1560,141837.96384893244
1561,125018.8114332493
1562,130987.25127672075
1563,119043.08607598496
1564,154338.38292058092
1565,144250.4835528185
1566,211151.1636015205
1567,81066.73716451992
1568,229457.89526404956
1569,131852.0469346394
1570,144107.63994611983
1571,115868.78385353915
1572,140699.843127737
1573,217612.476206755
1574,118249.25609660719
1575,202396.71876701192
1576,242987.6556457278
1577,187200.71488669747
1578,142668.03990268076
1579,137622.64118527967
1580,196635.6294182793
1581,159834.79557012263
1582,121446.53768214068
1583,302579.3271147096
1584,227840.03028206452
1585,142531.47153466265
1586,76475.05842113672
1587,105265.39229021601
1588,150377.13887580848
1589,102823.07269537581
1590,136922.87295215495
1591,88122.05077421332
1592,119775.51415532164
1593,128523.42238535132
1594,133110.68990108775
1595,106335.99763815338
1596,214009.8957970916
1597,174318.90991899694
1598,200100.4994872082
1599,170773.64630837942
1600,163477.13870289858
1601,79083.46878206279
1602,125376.47973179119
1603,87478.16042759616
1604,253473.75799069583
1605,251544.114589484
1606,161743.20444007136
1607,171696.14183672075
1608,216368.15913264637
1609,180731.95714793357
1610,147133.59866891272
1611,135584.69800240156
1612,168547.33014156597
1613,161702.8438509918
1614,134106.63825937826
1615,99873.72254352836
1616,83223.00183321981
1617,98792.13769097377
1618,124832.32243371854
1619,142666.35355585694
1620,154959.13153656234
1621,140092.55588537967
1622,151328.3976134807
1623,249789.61714139828
1624,215655.8944298549
1625,114426.2137711491
1626,163808.70782640856
1627,194994.37371107322
1628,281208.0539546991
1629,172350.86164150768
1630,325675.4016038183
1631,212176.7412760841
1632,225054.22884008143
1633,173397.9532677522
1634,189003.29921956922
1635,184456.66507154208
1636,157217.41034365524
1637,195232.98615454749
1638,193643.83695046834
1639,191187.1629713272
1640,275726.57531237963
1641,174380.9567268412
1642,237549.47782106287
1643,221260.78736322204
1644,222490.72483850803
1645,190639.1161711716
1646,155399.2588375441
1647,160296.45558475316
1648,125074.38693180446
1649,143494.9504737925
1650,117815.11691191862
1651,122598.01290885085
1652,101529.80517655856
1653,110190.10928890562
1654,143742.101432573
1655,145345.55982170708
1656,140295.20042508494
1657,147108.20488619944
1658,143191.08710097673
1659,121480.05322560153
1660,148713.2830537633
1661,440408.7983783165
1662,394238.9489098337
1663,355547.9884260621
1664,461221.4495268948
1665,285911.29300824704
1666,308507.52456633234
1667,387326.1000609527
1668,345570.7184179853
1669,282992.4772434031
1670,332898.97266664554
1671,260102.31531563582
1672,409218.5627757888
1673,288690.64889983356
1674,236834.92993756657
1675,180432.79324464547
1676,191970.05560176165
1677,205030.58014691249
1678,400609.71157679387
1679,369076.32501451985
1680,310537.47298710037
1681,224127.5572639681
1682,296354.73566067294
1683,171822.55383033253
1684,182850.78087940544
